"Horario","Contagem"
"1726375245","183"
"1726258245","72"
"1726712145","119"
"1726194045","130"
"1726099245","110"
"1727205645","46"
"1726676745","29"
"1726814445","122"
"1726621545","54"
"1725816345","71"
"1727153445","61"
"1727000745","181"
"1726255245","60"
"1725789646","158"
"1726470649","94"
"1726429545","76"
"1726171549","48"
"1727006145","124"
"1726795017","116"
"1726929045","110"
"1725676845","276"
"1726576546","25"
"1726198846","144"
"1726043745","44"
"1725683745","389"
"1727074846","143"
"1726407945","73"
"1726360545","117"
"1726366245","127"
"1726253745","53"
"1727218845","73"
"1726414545","56"
"1726925145","117"
"1726024245","65"
"1726313745","120"
"1727059545","135"
"1725992146","36"
"1726271445","171"
"1726981249","252"
"1726640745","42"
"1725693645","320"
"1725852645","166"
"1726450245","118"
"1727028945","81"
"1726428945","72"
"1725776745","220"
"1726491945","45"
"1726426245","71"
"1726643445","38"
"1727129445","84"
"1726765846","28"
"1726062645","32"
"1726105246","105"
"1726466445","109"
"1726847745","38"
"1725927645","110"
"1727236245","70"
"1726907145","273"
"1726181145","74"
"1726683645","42"
"1725673845","223"
"1725899446","49"
"1725762945","179"
"1726484745","47"
"1726557045","54"
"1725844545","210"
"1726274145","199"
"1726258550","74"
"1726217145","109"
"1725701145","211"
"1727026545","80"
"1725913845","64"
"1726798444","118"
"1726892145","379"
"1726117245","93"
"1726463145","107"
"1725937245","92"
"1727097345","58"
"1727237445","67"
"1726628445","50"
"1726479345","65"
"1726796508","117"
"1725793245","122"
"1726247145","48"
"1725663645","121"
"1726859745","56"
"1726093845","94"
"1726524345","63"
"1726058745","34"
"1725998745","38"
"1726966845","152"
"1726707646","106"
"1726712445","119"
"1726146645","34"
"1726908345","248"
"1726587945","28"
"1727211045","60"
"1726954845","139"
"1726201845","157"
"1726013446","81"
"1726670745","30"
"1726197945","149"
"1726641045","42"
"1726962345","138"
"1726934745","92"
"1725998145","39"
"1726489245","46"
"1726630845","56"
"1725993945","31"
"1726124745","75"
"1726099545","111"
"1726110345","119"
"1725679845","356"
"1726525545","70"
"1726153545","34"
"1725936945","93"
"1726963245","140"
"1725796545","111"
"1726742745","40"
"1726803045","130"
"1725747945","111"
"1727096745","59"
"1727164245","49"
"1727071545","155"
"1726386045","180"
"1726858245","50"
"1725876945","76"
"1726502145","36"
"1726256745","69"
"1727233845","73"
"1726500045","41"
"1727117145","51"
"1725917745","79"
"1726311045","148"
"1726184446","82"
"1726970445","173"
"1725833745","168"
"1725929449","101"
"1725758745","158"
"1725979545","31"
"1726914045","203"
"1725757545","151"
"1725903045","47"
"1726031445","63"
"1726929345","106"
"1726021545","69"
"1726611645","63"
"1726044945","44"
"1725703845","179"
"1726045545","43"
"1727199045","38"
"1726086345","73"
"1727201146","41"
"1726212645","135"
"1727068545","156"
"1725822946","100"
"1725695745","280"
"1726244445","46"
"1726008345","79"
"1726584946","26"
"1726221945","88"
"1726091145","77"
"1725850845","173"
"1726770345","30"
"1726179345","62"
"1726824345","65"
"1726705546","106"
"1726788045","91"
"1726134345","43"
"1726368645","156"
"1725864945","106"
"1727273145","21"
"1726288545","383"
"1726591545","28"
"1727016345","85"
"1725888945","49"
"1726199745","144"
"1726626650","46"
"1726254045","56"
"1725971145","38"
"1726961445","132"
"1726543245","55"
"1726844145","37"
"1726540245","53"
"1726066845","32"
"1726437349","134"
"1725945949","94"
"1725696646","265"
"1727009445","111"
"1726304145","255"
"1726306545","207"
"1725952545","86"
"1726780245","62"
"1725803445","81"
"1726904745","312"
"1726955445","138"
"1726461345","103"
"1726205745","149"
"1726758945","28"
"1727051445","178"
"1727073345","147"
"1725883245","58"
"1726227045","67"
"1725827445","115"
"1727225445","78"
"1726801245","120"
"1726683345","42"
"1726922145","131"
"1725979845","31"
"1726741845","41"
"1725947445","94"
"1726949145","115"
"1726562145","47"
"1725916245","76"
"1726765245","28"
"1726469445","98"
"1726833645","44"
"1726337445","70"
"1726534545","64"
"1726385746","180"
"1726053046","38"
"1725931246","89"
"1725779445","215"
"1726850145","40"
"1725720045","97"
"1727152545","60"
"1725661426","107"
"1726189545","104"
"1725802845","81"
